"scan1","scan2","scan3","scan4","sample.diameters"
0,0,0,0,6.2
0,0,0,0,6.2
0,0,0,0,6.2
0,0,0,0,6.2
0,0,0,0,6.2
0,0,0,0,6.21
0,0,0,0,6.21
0,0,0,0,6.21
0,0,0,0,6.21
0,0,0,0,6.21
0,0,0,0,6.21
0,0,0,0,6.21
0,0,0,0,6.21
0,0,0,0,6.22
0,0,0,0,6.22
0,0,0,0,6.22
0,0,0,0,6.22
0,0,0,0,6.22
0,0,0,0,6.22
0,0,0,0,6.22
0,0,0,0,6.23
0,0,0,0,6.23
0,0,0,0,6.23
0,0,0,0,6.23
0,0,0,0,6.23
0,0,0,0,6.23
0,0,0,0,6.23
0,0,0,0,6.23
0,0,0,0,6.24
0,0,0,0,6.24
0,0,0,0,6.24
0,0,0,0,6.24
0,0,0,0,6.24
0,0,0,0,6.24
0,0,0,8.32684696599299,6.24
0,0,0,0,6.25
0,0,0,0,6.25
0,0,0,0,6.25
0,0,0,0,6.25
0,0,0,0,6.25
0,0,0,0,6.25
0,0,0,0,6.25
0,0,0,0,6.26
0,0,0,0,6.26
0,0,0,8.26637552780258,6.26
0,0,0,0,6.26
0,0,0,0,6.26
0,0,0,0,6.26
0,0,0,0,6.26
0,0,0,0,6.26
0,0,0,0,6.27
0,0,0,0,6.27
0,0,0,0,6.27
0,0,0,0,6.27
0,8.23644214341263,0,0,6.27
0,0,0,0,6.27
0,0,0,0,6.27
0,0,0,0,6.28
0,0,0,0,6.28
0,0,0,0,6.28
8.20670792823972,0,0,0,6.28
0,0,0,0,6.28
0,0,0,0,6.28
0,0,0,0,6.28
0,0,0,0,6.28
0,0,0,0,6.29
0,0,0,0,6.29
0,8.17717111374256,0,0,6.29
0,0,0,0,6.29
0,0,0,0,6.29
0,0,0,0,6.29
0,0,0,0,6.29
0,0,0,0,6.3
0,0,0,0,6.3
0,0,0,0,6.3
0,0,0,0,6.3
0,0,0,0,6.3
0,0,0,0,6.3
0,0,0,0,6.3
0,0,0,0,6.3
0,0,8.11868269897586,0,6.31
0,0,0,0,6.31
0,0,0,0,6.31
0,0,0,0,6.31
