No,Method,Sample.Name,Sample.Vial,Sample Vial Index,Executed
1,160721_vw_extended,St1,1A12,19-04-2017 17:00:46,19-04-2017 17:00:46
2,160721_vw_extended,St2,1B12,19-04-2017 17:12:46,19-04-2017 17:12:46
3,160721_vw_extended,St3,1C12,19-04-2017 17:24:46,19-04-2017 17:24:46
4,160721_vw_extended,St4,1D12,19-04-2017 17:36:46,19-04-2017 17:36:46
5,160721_vw_extended,ThrowawayGOX,1H11,19-04-2017 17:48:46,19-04-2017 17:48:46
6,160721_vw_extended,GOXQC1,1A10,19-04-2017 18:00:46,19-04-2017 18:00:46
7,160721_vw_extended,1,1A1,19-04-2017 18:12:46,19-04-2017 18:12:46
8,160721_vw_extended,2,1B1,19-04-2017 18:24:46,19-04-2017 18:24:46
9,160721_vw_extended,3,1C1,19-04-2017 18:36:46,19-04-2017 18:36:46
10,160721_vw_extended,4,1D1,19-04-2017 18:48:46,19-04-2017 18:48:46
11,160721_vw_extended,5,1.00E+01,19-04-2017 19:00:46,19-04-2017 19:00:46
12,160721_vw_extended,6,1F1,19-04-2017 19:12:46,19-04-2017 19:12:46
13,160721_vw_extended,7,1G1,19-04-2017 19:24:46,19-04-2017 19:24:46
14,160721_vw_extended,8,1H1,19-04-2017 19:36:46,19-04-2017 19:36:46
15,160721_vw_extended,GOXQC2,1B10,19-04-2017 19:48:46,19-04-2017 19:48:46
16,160721_vw_extended,9,1A2,19-04-2017 20:00:45,19-04-2017 20:00:45
17,160721_vw_extended,10,1B2,19-04-2017 20:12:45,19-04-2017 20:12:45
18,160721_vw_extended,11,1C2,19-04-2017 20:24:45,19-04-2017 20:24:45
19,160721_vw_extended,12,1D2,19-04-2017 20:36:45,19-04-2017 20:36:45
20,160721_vw_extended,13,1.00E+02,19-04-2017 20:48:45,19-04-2017 20:48:45
21,160721_vw_extended,14,1F2,19-04-2017 21:00:45,19-04-2017 21:00:45
22,160721_vw_extended,15,1G2,19-04-2017 21:12:45,19-04-2017 21:12:45
23,160721_vw_extended,16,1H2,19-04-2017 21:24:45,19-04-2017 21:24:45
24,160721_vw_extended,GOXQC3,1C10,19-04-2017 21:36:45,19-04-2017 21:36:45
25,160721_vw_extended,17,1A3,19-04-2017 21:48:44,19-04-2017 21:48:44
26,160721_vw_extended,18,1B3,19-04-2017 22:00:44,19-04-2017 22:00:44
27,160721_vw_extended,19,1C3,19-04-2017 22:12:44,19-04-2017 22:12:44
28,160721_vw_extended,20,1D3,19-04-2017 22:24:44,19-04-2017 22:24:44
29,160721_vw_extended,21,1.00E+03,19-04-2017 22:36:44,19-04-2017 22:36:44
30,160721_vw_extended,22,1F3,19-04-2017 22:48:44,19-04-2017 22:48:44
31,160721_vw_extended,23,1G3,19-04-2017 23:00:44,19-04-2017 23:00:44
32,160721_vw_extended,24,1H3,19-04-2017 23:12:44,19-04-2017 23:12:44
33,160721_vw_extended,GOXQC4,1D10,19-04-2017 23:24:44,19-04-2017 23:24:44
34,160721_vw_extended,25,1A4,19-04-2017 23:36:44,19-04-2017 23:36:44
35,160721_vw_extended,26,1B4,19-04-2017 23:48:43,19-04-2017 23:48:43
