""," ","std 1","std 2","std 3","std 4","bl","GOXQC1","115","116","117","118","119","120","121","122","GOXQC2","123","124","125","126","127","128","129","130","GOXQC3","131","132","133","134","135","136","137","138","GOXQC4","139","140","141","142","143","144","145","146","GOXQC5","147","148","149","150","151","152","153","154","GOXQC6","155","156","157","158","159","160","161","162","GOXQC7","163","164","165","166","167","168","169","GOXQC8","std 1","std 2","std 3","std 4"
"1",NA,"0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"2","Sample Name","1A12","1B12","1C12","1D12","1D11","1A10","1A1","1B1","1C1","1D1","1.00E+01","1F1","1G1","1H1","1B10","1A2","1B2","1C2","1D2","1.00E+02","1F2","1G2","1H2","1C10","1A3","1B3","1C3","1D3","1.00E+03","1F3","1G3","1H3","1D10","1A4","1B4","1C4","1D4","1.00E+04","1F4","1G4","1H4","1.00E+10","1A5","1B5","1C5","1D5","1.00E+05","1F5","1G5","1H5","1F10","1A6","1B6","1C6","1D6","1.00E+06","1F6","1G6","1H6","1G10","1A7","1B7","1C7","1D7","1.00E+07","1F7","1G7","1H10","1.00E+12","1F12","1G12","1H12"
"3","Diameter","inj1","inj2","inj3","inj4","inj5","inj6","inj7","inj8","inj9","inj10","inj11","inj12","inj13","inj14","inj15","inj16","inj17","inj18","inj19","inj20","inj21","inj22","inj23","inj24","inj25","inj26","inj27","inj28","inj29","inj30","inj31","inj32","inj33","inj34","inj35","inj36","inj37","inj38","inj39","inj40","inj41","inj42","inj43","inj44","inj45","inj46","inj47","inj48","inj49","inj50","inj51","inj52","inj53","inj54","inj55","inj56","inj57","inj58","inj59","inj60","inj61","inj62","inj63","inj64","inj65","inj66","inj67","inj68","inj69","inj70","inj71","inj72"
"4","6.016877","0","0","0","2.26513005525077","0","0","4.53026011050155","2.26513005525077","0","2.26513005525077","2.26513005525077","0","0","0","2.26513005525077","0","2.26513005525077","0","0","0","2.26513005525077","0","2.26513005525077","0","2.26513005525077","4.53026011050155","2.26513005525077","0","2.26513005525077","2.26513005525077","2.26513005525077","2.26513005525077","0","6.79539016575232","2.26513005525077","4.53026011050155","0","2.26513005525077","0","2.26513005525077","2.26513005525077","2.26513005525077","0","2.26513005525077","9.0605202210031","0","9.0605202210031","2.26513005525077","2.26513005525077","0","0","4.53026011050155","2.26513005525077","0","0","0","0","2.26513005525077","0","4.53026011050155","0","2.26513005525077","0","2.26513005525077","2.26513005525077","0","2.26513005525077","0","2.26513005525077","2.26513005525077","2.26513005525077","0"
"5","6.024136","0","0","0","0","0","0","0","2.25870510533208","0","4.51741021066416","0","2.25870510533208","0","0","2.25870510533208","0","0","2.25870510533208","0","0","2.25870510533208","2.25870510533208","2.25870510533208","0","4.51741021066416","4.51741021066416","2.25870510533208","0","2.25870510533208","0","2.25870510533208","2.25870510533208","0","2.25870510533208","2.25870510533208","2.25870510533208","0","0","0","6.77611531599624","2.25870510533208","0","0","2.25870510533208","2.25870510533208","0","0","2.25870510533208","2.25870510533208","0","0","2.25870510533208","0","0","0","2.25870510533208","0","0","0","0","0","0","0","2.25870510533208","0","2.25870510533208","2.25870510533208","4.51741021066416","0","0","0","0"
"6","6.031523","0","0","0","2.25220048314722","0","0","2.25220048314722","2.25220048314722","2.25220048314722","2.25220048314722","0","4.50440096629443","2.25220048314722","0","2.25220048314722","2.25220048314722","4.50440096629443","0","0","0","0","0","4.50440096629443","0","4.50440096629443","4.50440096629443","6.75660144944165","2.25220048314722","2.25220048314722","0","0","0","2.25220048314722","0","2.25220048314722","0","2.25220048314722","4.50440096629443","0","0","4.50440096629443","0","0","0","2.25220048314722","0","0","2.25220048314722","0","0","0","0","2.25220048314722","0","4.50440096629443","2.25220048314722","0","0","0","0","2.25220048314722","0","0","0","2.25220048314722","2.25220048314722","2.25220048314722","0","0","4.50440096629443","0","0"
"7","6.038801","0","0","2.24582478842837","2.24582478842837","0","0","2.24582478842837","0","2.24582478842837","0","0","0","4.49164957685674","2.24582478842837","2.24582478842837","2.24582478842837","0","0","0","0","2.24582478842837","0","8.98329915371349","0","4.49164957685674","0","4.49164957685674","4.49164957685674","2.24582478842837","2.24582478842837","2.24582478842837","2.24582478842837","0","0","2.24582478842837","0","2.24582478842837","2.24582478842837","0","2.24582478842837","0","4.49164957685674","2.24582478842837","6.73747436528512","2.24582478842837","2.24582478842837","4.49164957685674","0","0","0","0","2.24582478842837","0","0","0","0","2.24582478842837","0","2.24582478842837","0","0","0","6.73747436528512","0","0","0","0","4.49164957685674","0","0","2.24582478842837","0"
"8","6.046206","0","2.23937117838099","2.23937117838099","2.23937117838099","2.23937117838099","2.23937117838099","0","0","0","2.23937117838099","0","0","0","0","0","2.23937117838099","2.23937117838099","2.23937117838099","0","2.23937117838099","2.23937117838099","0","13.436227070286","0","0","4.47874235676199","6.71811353514298","2.23937117838099","0","2.23937117838099","4.47874235676199","2.23937117838099","0","0","2.23937117838099","2.23937117838099","0","4.47874235676199","0","0","0","2.23937117838099","4.47874235676199","4.47874235676199","0","0","4.47874235676199","0","0","0","0","2.23937117838099","4.47874235676199","0","0","4.47874235676199","0","0","2.23937117838099","2.23937117838099","2.23937117838099","4.47874235676199","2.23937117838099","0","4.47874235676199","4.47874235676199","2.23937117838099","4.47874235676199","0","2.23937117838099","2.23937117838099","2.23937117838099"
"9","6.053561","0","0","2.23299421075532","4.46598842151063","0","0","2.23299421075532","4.46598842151063","0","2.23299421075532","4.46598842151063","4.46598842151063","2.23299421075532","0","0","0","2.23299421075532","2.23299421075532","2.23299421075532","0","2.23299421075532","4.46598842151063","4.46598842151063","0","0","4.46598842151063","0","0","0","0","2.23299421075532","2.23299421075532","4.46598842151063","0","2.23299421075532","4.46598842151063","0","2.23299421075532","0","6.69898263226595","0","0","0","6.69898263226595","2.23299421075532","0","2.23299421075532","0","2.23299421075532","2.23299421075532","0","0","0","0","2.23299421075532","2.23299421075532","0","0","4.46598842151063","2.23299421075532","0","0","0","0","0","2.23299421075532","4.46598842151063","4.46598842151063","2.23299421075532","0","2.23299421075532","4.46598842151063"
"10","6.060865","2.96892514192323","0","0","2.22669385644242","0","2.22669385644242","0","0","2.22669385644242","2.22669385644242","4.45338771288485","2.22669385644242","6.68008156932727","2.22669385644242","4.45338771288485","2.22669385644242","0","0","6.68008156932727","0","0","0","6.68008156932727","0","0","2.22669385644242","2.22669385644242","0","0","4.45338771288485","0","6.68008156932727","2.22669385644242","0","6.68008156932727","0","4.45338771288485","6.68008156932727","2.22669385644242","4.45338771288485","0","0","0","2.22669385644242","0","0","6.68008156932727","0","0","0","0","0","0","0","0","0","4.45338771288485","0","4.45338771288485","0","2.22669385644242","0","0","4.45338771288485","0","11.1334692822121","4.45338771288485","4.45338771288485","2.22669385644242","2.22669385644242","4.45338771288485","4.45338771288485"
