No,Method,Sample.Name,Sample.Vial,Sample Vial Index,Executed
1,160721 vw extended,std 1,1A12,15-02-2017 13:30:26,15-02-2017 13:30:26
2,160721 vw extended,std 2,1B12,15-02-2017 13:42:26,15-02-2017 13:42:26
3,160721 vw extended,std 3,1C12,15-02-2017 13:54:26,15-02-2017 13:54:26
4,160721 vw extended,std 4,1D12,15-02-2017 14:06:26,15-02-2017 14:06:26
5,160721 vw extended,bl,1D11,15-02-2017 14:18:26,15-02-2017 14:18:26
6,160721 vw extended,GOXQC1,1A10,15-02-2017 14:30:26,15-02-2017 14:30:26
7,160721 vw extended,115,1A1,15-02-2017 14:42:26,15-02-2017 14:42:26
8,160721 vw extended,116,1B1,15-02-2017 14:54:25,15-02-2017 14:54:25
9,160721 vw extended,117,1C1,15-02-2017 15:06:25,15-02-2017 15:06:25
10,160721 vw extended,118,1D1,15-02-2017 15:18:25,15-02-2017 15:18:25
11,160721 vw extended,119,1E1,15-02-2017 15:30:25,15-02-2017 15:30:25
12,160721 vw extended,120,1F1,15-02-2017 15:42:25,15-02-2017 15:42:25
13,160721 vw extended,121,1G1,15-02-2017 15:54:25,15-02-2017 15:54:25
14,160721 vw extended,122,1H1,15-02-2017 16:06:25,15-02-2017 16:06:25
15,160721 vw extended,GOXQC2,1B10,15-02-2017 16:18:25,15-02-2017 16:18:25
16,160721 vw extended,123,1A2,15-02-2017 16:30:25,15-02-2017 16:30:25
17,160721 vw extended,124,1B2,15-02-2017 16:42:25,15-02-2017 16:42:25
18,160721 vw extended,125,1C2,15-02-2017 16:54:24,15-02-2017 16:54:24
19,160721 vw extended,126,1D2,15-02-2017 17:06:24,15-02-2017 17:06:24
20,160721 vw extended,127,1E2,15-02-2017 17:18:24,15-02-2017 17:18:24
21,160721 vw extended,128,1F2,15-02-2017 17:30:24,15-02-2017 17:30:24
22,160721 vw extended,129,1G2,15-02-2017 17:42:24,15-02-2017 17:42:24
23,160721 vw extended,130,1H2,15-02-2017 17:54:24,15-02-2017 17:54:24
24,160721 vw extended,GOXQC3,1C10,15-02-2017 18:06:24,15-02-2017 18:06:24
25,160721 vw extended,131,1A3,15-02-2017 18:18:24,15-02-2017 18:18:24
26,160721 vw extended,132,1B3,15-02-2017 18:30:24,15-02-2017 18:30:24
27,160721 vw extended,133,1C3,15-02-2017 18:42:24,15-02-2017 18:42:24
28,160721 vw extended,134,1D3,15-02-2017 18:54:24,15-02-2017 18:54:24
29,160721 vw extended,135,1E3,15-02-2017 19:06:23,15-02-2017 19:06:23
30,160721 vw extended,136,1F3,15-02-2017 19:18:23,15-02-2017 19:18:23
31,160721 vw extended,137,1G3,15-02-2017 19:30:23,15-02-2017 19:30:23
32,160721 vw extended,138,1H3,15-02-2017 19:42:24,15-02-2017 19:42:24
33,160721 vw extended,GOXQC4,1D10,15-02-2017 19:54:23,15-02-2017 19:54:23
34,160721 vw extended,139,1A4,15-02-2017 20:06:23,15-02-2017 20:06:23
35,160721 vw extended,140,1B4,15-02-2017 20:18:23,15-02-2017 20:18:23
36,160721 vw extended,141,1C4,15-02-2017 20:30:23,15-02-2017 20:30:23
37,160721 vw extended,142,1D4,15-02-2017 20:42:23,15-02-2017 20:42:23
38,160721 vw extended,143,1E4,15-02-2017 20:54:23,15-02-2017 20:54:23
39,160721 vw extended,144,1F4,15-02-2017 21:06:23,15-02-2017 21:06:23
40,160721 vw extended,145,1G4,15-02-2017 21:18:23,15-02-2017 21:18:23
41,160721 vw extended,146,1H4,15-02-2017 21:30:23,15-02-2017 21:30:23
